woman;ქალი
man;კაცი
house;სახლი
child;ბავშვი
one's child;შვილი
tree;ხე
apartment;ბინა
chair;სკამი
room;ოთახი
cat;კატა
dog;ძაღლი
street;ქუჩა
mountain;მთა
people;ხალხი
table;მაგიდა
shelf;თარო
book;წიგნი
rain;წვიმა
snow;თოვლი
year;წელი
month;თვე
national;ერივნული
boy;ბიჟი
girl;გოგო
husband;ქმარი
wife;ცოლი
spouse;მეუღლე
grandpa;ბაბუა
grandma;ბებია
world;მსოფლიო
grandchild;შვილიშვილი
country;ქვეყანა
city;ქალაქი
building;შენობა
ocean;ოკეანე
water;წყალი
friend;მეგობარი
car;მანქანა
language;ენა
sun;მზე
yesterday;გუშინ
desert;უდაბნო
nation;ერი
government;მტავრობა
mother;დედა
father;მამა
family;ოჯახი
sister;და
brother;ძმა
daughter;ქალიშვილი
son;ვაჟი
parent;მშობელი
state;შტატი
capital;დედაქალაქი
neighborhood;უბანი
region;რეგიონი
sea;ზღვა
store;მაღაზია
turtle;კუ
lake;ტბა
human;ადამიანი
main;მთავარი
tomorrow;ხვალ
avenue;გამზირი
nationality;ერივნება
